"","Reading","Computer","Sport","Walking","Travelling","Playing music","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age"
"1","Reading","No computer","Sport","Walking","Travelling","No playing music","Volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","F","(55,65]"
"2","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(25,35]"
"3","Reading","No computer","No sport","Walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(55,65]"
"4","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"5","No reading","Computer","Sport","No walking","No travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"6","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"7","Reading","No computer","No sport","No walking","No travelling","Playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","F","(25,35]"
"8","Reading","No computer","Sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","[15,25]"
"9","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(75,85]"
"10","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"11","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"12","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"13","Reading","No computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(65,75]"
"14","Reading","Computer","Sport","No walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"15","Reading","Computer","Sport","No walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","M","(45,55]"
"16","No reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(45,55]"
"17","Reading","Computer","Sport","Walking","Travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"18","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"19","Reading","No computer","Sport","Walking","Travelling","Playing music","Volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(35,45]"
"20","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","F","(45,55]"
"21","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","Mechanic","Gardening","No knitting","No cooking","No fishing","M","(35,45]"
"22","Reading","Computer","No sport","Walking","Travelling","Playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(25,35]"
"23","Reading","Computer","No sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","No fishing","F","(45,55]"
"24","Reading","No computer","No sport","Walking","Travelling","No playing music","No volunteering","Mechanic","No gardening","No knitting","No cooking","No fishing","M","(35,45]"
"25","Reading","Computer","Sport","No walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","Cooking","Fishing","F","(25,35]"
"26","Reading","Computer","Sport","Walking","Travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","M","(25,35]"
"27","Reading","Computer","No sport","Walking","No travelling","Playing music","No volunteering","Mechanic","No gardening","No knitting","Cooking","No fishing","M","(35,45]"
"28","Reading","No computer","No sport","No walking","No travelling","No playing music","No volunteering","No mechanic","No gardening","No knitting","No cooking","No fishing","F","(65,75]"
